date,item_id,item_name,category,shop_name,clicks,orders,gmv,commission,commission_rate
2026-06-01,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,340,28,14280.00,1428.00,10.0
2026-06-01,987654321,Dr.PONG ครีมหน้าใส SPF50,Health,Dr.PONG Official,210,19,9500.00,950.00,10.0
2026-06-01,555444333,Xiaomi Redmi Note 13 Pro,Mobile & Gadget,Xiaomi Thailand,88,5,44500.00,890.00,2.0
2026-06-01,111222333,กระเป๋าผ้าแฟชั่น Tote Bag,Fashion,Bag World,145,12,3600.00,360.00,10.0
2026-06-01,444555666,ชุดครัว Tefal Non-Stick 28cm,Home & Living,Tefal Thailand,95,9,8100.00,648.00,8.0
2026-06-02,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,412,35,17850.00,1785.00,10.0
2026-06-02,987654321,Dr.PONG ครีมหน้าใส SPF50,Health,Dr.PONG Official,185,16,8000.00,800.00,10.0
2026-06-02,777888999,ลิปสติก Maybelline Superstay,Beauty,Maybelline TH,298,41,8200.00,820.00,10.0
2026-06-02,333222111,หูฟัง JBL Tune 510BT,Mobile & Gadget,JBL Thailand,167,14,9800.00,784.00,8.0
2026-06-02,666777888,นมผึ้ง Royal Jelly 1000mg,Health,Healthway TH,220,30,9000.00,900.00,10.0
2026-06-03,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,388,31,15810.00,1581.00,10.0
2026-06-03,777888999,ลิปสติก Maybelline Superstay,Beauty,Maybelline TH,321,48,9600.00,960.00,10.0
2026-06-03,444555666,ชุดครัว Tefal Non-Stick 28cm,Home & Living,Tefal Thailand,112,11,9900.00,792.00,8.0
2026-06-03,987654321,Dr.PONG ครีมหน้าใส SPF50,Health,Dr.PONG Official,199,18,9000.00,900.00,10.0
2026-06-03,222333444,กล้อง Canon EOS M50 Mark II,Mobile & Gadget,Canon Thailand,44,3,44700.00,1788.00,4.0
2026-06-04,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,445,38,19380.00,1938.00,10.0
2026-06-04,777888999,ลิปสติก Maybelline Superstay,Beauty,Maybelline TH,280,39,7800.00,780.00,10.0
2026-06-04,666777888,นมผึ้ง Royal Jelly 1000mg,Health,Healthway TH,198,27,8100.00,810.00,10.0
2026-06-04,333222111,หูฟัง JBL Tune 510BT,Mobile & Gadget,JBL Thailand,155,13,9100.00,728.00,8.0
2026-06-04,888999000,ครีมกันแดด Anessa Perfect UV,Beauty,Shiseido TH,176,22,13200.00,1320.00,10.0
2026-06-05,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,520,44,22440.00,2244.00,10.0
2026-06-05,777888999,ลิปสติก Maybelline Superstay,Beauty,Maybelline TH,310,45,9000.00,900.00,10.0
2026-06-05,987654321,Dr.PONG ครีมหน้าใส SPF50,Health,Dr.PONG Official,240,22,11000.00,1100.00,10.0
2026-06-05,888999000,ครีมกันแดด Anessa Perfect UV,Beauty,Shiseido TH,201,26,15600.00,1560.00,10.0
2026-06-05,555444333,Xiaomi Redmi Note 13 Pro,Mobile & Gadget,Xiaomi Thailand,102,7,62300.00,1246.00,2.0
2026-06-06,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,398,33,16830.00,1683.00,10.0
2026-06-06,777888999,ลิปสติก Maybelline Superstay,Beauty,Maybelline TH,265,37,7400.00,740.00,10.0
2026-06-06,666777888,นมผึ้ง Royal Jelly 1000mg,Health,Healthway TH,188,25,7500.00,750.00,10.0
2026-06-06,444555666,ชุดครัว Tefal Non-Stick 28cm,Home & Living,Tefal Thailand,88,8,7200.00,576.00,8.0
2026-06-06,987654321,Dr.PONG ครีมหน้าใส SPF50,Health,Dr.PONG Official,178,15,7500.00,750.00,10.0
2026-06-07,123456789,JisuLife Face Fan PN18 - พัดลมหน้า,Mobile & Gadget,JisuLife Official Store,480,41,20910.00,2091.00,10.0
2026-06-07,777888999,ลิปสติก Maybelline Superstay,Beauty,Maybelline TH,330,50,10000.00,1000.00,10.0
2026-06-07,888999000,ครีมกันแดด Anessa Perfect UV,Beauty,Shiseido TH,220,28,16800.00,1680.00,10.0
2026-06-07,987654321,Dr.PONG ครีมหน้าใส SPF50,Health,Dr.PONG Official,222,20,10000.00,1000.00,10.0
2026-06-07,222333444,กล้อง Canon EOS M50 Mark II,Mobile & Gadget,Canon Thailand,51,4,59600.00,2384.00,4.0
